T,RollA,PithA,RollG,PithG
0,-0.20,0.13,-0.02,0.15
54,0.71,0.22,-0.02,0.12
108,0.10,0.58,-0.01,0.11
163,0.72,-0.01,0.01,0.04
217,3.32,1.45,0.06,0.02
271,1.05,1.40,0.87,0.22
325,1.01,4.25,2.91,-0.02
379,4.10,-1.44,4.61,0.12
433,3.40,-0.24,6.96,-0.26
487,8.52,-0.17,9.01,-0.22
541,7.97,-0.61,11.50,-0.62
595,11.44,-1.32,13.84,-0.43
649,16.46,0.22,16.07,-0.55
703,17.87,0.52,18.03,-0.45
757,18.30,-0.10,19.90,-0.45
811,20.44,1.54,21.84,-0.32
865,22.46,-1.53,23.85,-0.84
919,23.26,2.17,25.49,-1.01
974,26.17,0.64,27.24,-1.53
1028,28.42,-0.36,29.03,-1.75
1082,29.78,-0.44,30.83,-1.60
1136,31.98,-1.86,32.53,-1.92
1190,32.49,0.14,34.00,-1.77
1244,34.57,1.58,35.44,-2.20
1298,34.29,0.20,36.67,-2.40
1352,38.84,0.81,37.62,-2.81
1406,37.24,-1.13,38.27,-2.67
1460,39.21,-0.39,38.55,-2.55
1514,38.81,0.49,38.84,-2.53
1568,38.42,-0.36,39.51,-2.47
1622,40.12,0.08,40.06,-2.70
1676,39.23,-1.19,40.28,-2.84
1730,41.06,-0.50,40.38,-2.90
1785,40.10,-0.37,40.54,-3.00
1839,39.89,5.35,40.68,-3.56
1893,39.97,-1.31,40.42,-3.51
1947,38.75,-3.11,38.64,-3.61
2001,39.11,1.12,36.87,-3.41
2055,37.65,-4.31,34.65,-2.93
2109,36.50,2.48,32.79,-2.90
2163,28.26,-2.33,30.95,-2.97
2217,32.38,1.93,28.62,-2.74
2271,25.28,-1.59,26.25,-2.58
2325,24.90,1.53,24.13,-2.48
2380,20.86,-2.22,21.44,-2.77
2434,19.98,-3.31,18.11,-3.05
2488,16.00,-3.39,14.78,-3.15
2542,13.85,-4.34,10.77,-2.70
2597,11.65,-0.62,7.03,-1.53
2651,5.63,-0.17,4.23,-0.44
2705,4.31,0.42,3.25,0.46
2759,3.13,1.15,2.97,1.37
2813,2.17,4.26,2.75,2.43
2867,3.80,5.28,2.21,4.13
2921,1.98,6.67,1.49,6.57
2975,2.47,10.22,0.68,9.99
3029,0.54,12.36,-0.52,14.08
3083,-2.52,15.67,-1.40,18.14
3137,-2.97,18.98,-2.38,22.75
3192,-2.74,26.30,-3.38,26.59
3246,-4.67,28.68,-4.45,31.50
3300,-4.67,33.91,-5.11,35.48
3354,-3.54,37.74,-5.64,40.08
3408,-3.85,40.96,-5.76,43.53
3462,-4.17,48.08,-5.65,49.17
3516,-3.29,52.43,-5.35,52.14
3570,-4.81,47.07,-5.68,58.44
3624,0.82,66.56,-5.97,63.02
3678,-3.42,61.51,-6.69,69.22
3732,-0.85,74.50,-6.52,72.59
3786,-4.90,71.24,-8.07,76.11
3840,-3.24,76.22,-8.80,78.59
3894,0.12,81.83,-8.65,79.76
3948,-3.21,75.63,-8.07,80.62
4003,-0.52,85.56,-6.99,84.09
4057,1.97,84.83,-6.69,85.40
4111,-0.84,85.64,-6.53,86.29
4165,2.87,85.91,-6.39,86.48
4219,0.85,84.88,-6.06,86.86
4273,1.88,87.86,-6.17,87.70
4327,3.02,86.08,-6.39,87.70
4381,3.42,86.56,-6.24,88.38
4435,3.62,86.41,-5.99,88.57
4489,2.12,87.27,-5.90,87.80
4543,1.86,86.77,-5.75,86.42
4597,1.82,83.98,-5.44,85.14
4651,1.93,84.34,-4.86,83.72
4705,1.92,84.23,-4.82,82.00
4759,0.14,81.42,-4.48,79.22
4814,0.52,78.13,-4.13,74.59
4868,-1.42,71.21,-4.24,69.32
4922,-2.45,68.12,-4.19,64.43
4976,-0.48,58.49,-4.89,58.68
5030,-3.73,58.74,-5.17,55.09
5084,0.50,42.97,-5.32,48.29
5138,-4.34,46.55,-5.26,42.36
5192,-3.45,42.16,-4.75,34.00
5246,-4.03,32.02,-4.58,28.49
5300,-6.72,27.00,-4.91,23.04
5354,-2.34,23.97,-6.13,20.73
5408,-4.86,19.75,-6.29,17.30
5462,-5.97,16.74,-5.65,16.77
5516,-4.78,16.79,-4.73,15.24
5570,-4.74,15.36,-3.77,14.72
5625,-2.40,16.82,-2.74,13.34
5679,-3.17,12.19,-1.87,12.30
5733,-1.62,13.30,-2.62,11.55
5787,-2.02,11.89,-5.16,9.65
5841,-8.16,8.08,-9.49,9.48
5895,-10.78,8.29,-13.40,8.60
5949,-17.09,10.49,-17.02,7.44
6003,-17.54,8.43,-20.05,6.67
6057,-1.87,19.27,-22.47,3.11
6111,-23.60,4.02,-24.39,1.57
6165,-27.43,4.98,-27.20,1.55
6220,-26.96,5.03,-30.16,0.69
6274,-34.02,3.48,-32.28,-0.18
6328,-33.16,2.84,-33.17,-1.28
6382,-32.17,2.76,-34.35,-3.05
6437,-34.65,3.71,-35.00,-5.67
6491,-35.19,-3.71,-34.93,-6.55
6545,-32.61,-0.01,-33.98,-7.54
6599,-36.11,-3.39,-33.16,-8.27
6653,-33.56,-3.33,-32.48,-8.92
6707,-32.48,-2.93,-32.11,-9.03
6761,-31.62,-3.79,-31.43,-9.79
6815,-28.68,-12.58,-30.98,-9.78
