T,RollA,PithA,RollG,PithG
0,4.99,0.72,3.34,0.53
54,8.97,2.64,7.37,0.49
108,12.53,1.56,11.79,0.33
162,17.63,1.66,16.07,-0.04
216,21.60,1.19,19.76,0.49
270,25.57,2.27,23.81,-0.34
324,31.22,3.40,27.43,-0.35
378,32.23,2.08,31.13,-1.57
432,33.54,1.03,34.07,-1.81
486,39.95,0.83,36.12,-2.20
540,41.49,0.73,37.00,-2.57
594,41.08,0.67,37.39,-2.79
648,40.84,-0.28,37.50,-2.69
702,39.96,-0.47,37.68,-2.73
756,41.64,0.00,37.71,-2.78
811,41.38,-0.08,37.66,-2.59
865,43.63,0.25,37.87,-2.33
919,41.84,-1.63,36.39,-2.35
973,38.30,0.38,34.86,-1.64
1027,36.84,2.59,33.14,-0.97
1081,36.04,3.68,31.19,-0.95
1135,32.67,-1.45,28.95,-0.56
1189,30.80,2.63,25.80,-0.11
1243,27.14,0.85,22.49,0.29
1297,25.96,-0.28,18.89,0.52
1351,20.59,3.61,15.91,0.39
1406,19.56,2.26,12.68,0.50
1460,15.82,3.79,10.00,0.69
1514,13.08,2.98,7.56,0.67
1568,9.96,-0.07,5.10,0.75
1623,7.77,1.69,2.35,0.47
1677,7.53,1.86,-0.80,0.51
1731,1.96,2.09,-4.02,0.56
1785,-2.21,-0.24,-7.11,1.53
1839,-4.91,6.31,-9.07,2.10
1893,-6.47,2.88,-9.54,2.61
1947,-6.42,4.03,-9.02,2.89
2001,-6.13,3.16,-8.01,2.66
2055,-3.79,6.59,-7.32,3.07
2109,-3.61,2.54,-6.82,2.84
2163,-3.24,4.10,-6.57,3.31
2218,-3.41,4.81,-6.56,3.39
2272,-3.33,4.22,-6.44,4.13
2326,-4.05,4.68,-6.59,4.87
2380,-2.82,6.09,-6.29,6.69
2434,-2.04,10.36,-6.21,9.17
2488,-1.34,8.01,-6.36,13.12
2542,-1.15,18.65,-6.89,18.19
2596,-7.25,21.69,-5.99,23.98
2650,-0.35,22.86,-5.75,27.17
2704,-5.92,32.16,-5.95,31.65
2758,-2.73,34.03,-6.10,36.08
2812,-4.78,36.87,-6.26,40.26
2866,-2.11,41.87,-5.57,45.19
2920,-2.91,49.47,-5.66,50.03
2974,-1.67,51.52,-5.80,54.87
3029,2.25,61.28,-6.18,59.79
3083,-3.18,61.05,-6.98,65.53
3137,1.46,70.08,-7.27,70.79
3191,-2.87,74.43,-7.63,74.82
3245,-0.01,78.83,-7.27,78.91
3299,-1.49,79.42,-7.29,82.14
3353,-0.62,88.52,-7.10,84.70
3407,-3.01,84.97,-7.19,87.48
3461,-1.59,88.20,-7.22,88.54
3515,-4.94,75.99,-7.26,90.56
3569,-0.24,85.22,-7.13,90.30
3623,-0.87,89.01,-6.69,90.98
3677,-0.88,86.35,-6.68,91.37
3731,-1.03,83.66,-6.67,92.21
3785,-0.63,85.48,-6.52,92.69
3840,-1.25,85.19,-6.30,93.16
3894,0.46,84.20,-6.39,93.58
3948,-0.51,84.07,-6.54,93.33
4002,-0.92,85.65,-6.56,92.80
4056,-1.02,85.85,-6.92,91.19
4110,-1.21,86.42,-7.12,88.76
4164,-1.03,88.32,-7.45,85.88
4218,-3.24,84.99,-7.51,81.67
4272,-3.42,82.68,-7.24,77.66
4326,-0.98,77.94,-6.92,73.80
4380,-2.45,74.14,-6.97,68.68
4434,-0.64,69.88,-6.99,65.06
4488,-1.89,65.80,-6.98,59.49
4542,-0.78,56.52,-6.17,53.81
4596,-3.35,53.85,-5.66,50.43
4651,1.88,49.62,-5.25,43.99
4705,-3.47,37.28,-4.57,38.69
4759,-0.25,40.27,-4.58,33.46
4813,-1.68,23.40,-3.79,28.15
4867,1.18,31.42,-3.76,22.50
4921,1.51,17.72,-2.83,15.91
4975,-0.13,19.12,-2.79,11.78
5029,3.34,11.10,-3.47,5.74
5083,-2.56,4.77,-3.44,3.93
5137,-0.40,6.46,-3.52,3.47
5191,-1.36,1.19,-2.75,3.25
5246,2.06,3.40,-2.53,3.84
5300,2.00,4.69,-2.17,3.26
5354,-1.06,7.73,-1.87,3.05
5408,1.96,3.80,-1.72,3.43
5463,1.47,4.49,-1.51,3.31
5517,1.91,3.66,-1.42,3.03
5571,3.23,4.65,-1.29,2.80
5625,2.33,5.28,-0.95,2.60
5679,4.26,4.00,-1.39,2.62
5733,0.46,3.14,-1.48,2.81
5787,2.40,5.38,-1.49,2.76
5841,1.24,4.22,-1.31,2.70
5895,2.92,4.52,-1.27,2.79
5949,2.31,4.13,-0.96,2.87
6003,3.63,3.32,-0.37,2.73
6058,3.76,4.35,0.38,2.62
6112,4.31,3.20,1.03,2.58
6166,5.40,5.46,1.56,2.21
6220,3.43,6.24,2.38,1.53
6274,8.35,2.94,2.21,2.63
6328,5.31,5.68,1.95,1.88
6382,4.62,2.62,2.49,2.20
6436,5.91,2.87,2.74,1.58
6490,6.93,-1.66,2.46,1.93
6544,5.51,6.50,0.27,2.75
6598,3.05,4.85,-3.38,2.31
6652,-0.40,2.36,-10.25,3.41
6706,-11.28,5.07,-16.64,3.18
6760,-17.14,3.31,-19.78,2.78
6814,-18.38,5.50,-22.58,2.59
6869,-21.35,5.20,-24.42,1.80
6923,-22.34,4.13,-26.06,0.72
6977,-19.93,4.26,-27.68,-0.37
7031,-29.71,2.16,-30.24,-0.61
7085,-28.07,1.92,-31.94,-1.94
7139,-26.26,0.71,-34.37,-2.50
7193,-31.70,1.43,-36.64,-3.19
7247,-32.26,2.85,-39.43,-3.09
7301,-39.35,1.60,-41.77,-3.05
7355,-57.30,17.18,-43.69,-2.46
7409,-33.47,-0.64,-44.38,-3.04
7463,-42.28,2.82,-44.49,-2.58
7517,-41.13,2.04,-44.61,-3.04
7571,-41.10,0.01,-44.56,-3.26
7625,-41.01,-0.29,-44.34,-3.71
7680,-40.73,0.16,-43.56,-4.14
7734,-36.96,1.56,-42.13,-4.55
7788,-40.38,-1.11,-39.93,-4.85
7842,-32.18,0.03,-37.66,-5.00
7896,-32.64,0.96,-35.29,-5.09
7950,-27.05,-1.09,-31.52,-5.20
8004,-23.97,-1.83,-27.45,-4.94
8058,-21.69,-4.47,-24.03,-5.42
8112,-22.49,-1.45,-20.43,-5.01
8166,-13.87,1.88,-16.75,-4.80
8220,-9.39,-0.57,-13.38,-4.47
8274,-4.69,-2.13,-10.33,-3.57
8328,-4.32,2.48,-7.28,-2.66
8382,3.35,2.17,-6.98,-3.64
8436,-1.91,2.90,-6.11,-2.68
8491,1.14,5.57,-6.06,-3.26
8545,-0.07,-0.28,-6.07,-3.29
8599,-0.25,1.72,-6.06,-3.30
8653,0.50,-0.80,-6.05,-3.41
8707,-0.04,3.59,-6.03,-6.37
8761,-0.12,-1.12,-5.97,-7.92
8815,0.28,-4.09,-6.00,-13.44
8869,-0.42,-7.55,-6.00,-17.57
8923,0.37,-16.10,-6.08,-25.09
8977,0.10,-23.02,-6.08,-29.20
9031,-0.31,-27.21,-6.13,-35.90
9086,0.28,-31.03,-6.14,-38.77
9140,0.10,-39.90,-6.14,-43.32
9194,-0.03,-38.01,-6.16,-47.04
9248,0.35,-50.93,-6.19,-52.89
9303,-0.61,-48.69,-6.20,-56.31
9357,-0.01,-52.75,-6.22,-61.60
9411,-0.50,-60.68,-6.25,-65.10
9465,-0.17,-61.19,-6.27,-69.71
9519,-0.37,-64.57,-6.29,-75.56
9573,0.17,-68.91,-6.34,-81.75
9627,-0.51,-84.01,-6.35,-86.91
9681,-9.77,-78.15,-7.51,-91.46
9735,0.00,-88.30,-8.19,-94.01
9789,3.61,-86.23,-8.55,-95.37
9843,-0.06,-85.58,-8.55,-96.41
9898,-0.46,-88.41,-8.54,-96.01
9952,-0.32,-84.51,-8.54,-95.03
10006,-0.49,-89.44,-8.54,-94.36
10060,-0.70,-85.19,-8.52,-93.27
10114,-0.30,-89.30,-8.50,-88.24
10168,-0.28,-78.75,-8.48,-84.91
10222,-0.28,-88.20,-8.44,-76.25
10276,-0.65,-74.84,-8.38,-66.71
10330,-0.42,-66.30,-8.27,-53.51
10384,0.26,-38.04,-8.21,-45.24
10438,-0.07,-37.87,-8.13,-35.88
10492,1.81,-20.53,-8.07,-26.46
10546,0.52,-18.92,-7.95,-18.90
10600,-1.57,-11.69,-7.85,-12.82
10654,2.60,-8.08,-7.69,-5.66
10709,3.92,-4.42,-7.68,-4.67
10763,0.29,0.26,-7.67,-4.29
