T,RollA,PithA,RollG,PithG
0,0.14,-0.04,-0.01,0.00
54,-0.08,0.22,-0.01,0.01
108,-0.21,0.03,-0.01,0.01
162,0.03,0.27,-0.02,-0.00
216,0.39,0.21,-0.02,-0.00
270,-0.11,0.01,-0.02,-0.01
324,0.25,0.19,-0.01,-0.01
379,0.38,0.21,0.00,-0.00
433,0.31,0.45,-0.00,-0.00
487,0.08,-0.20,0.00,-0.00
541,0.03,0.52,-0.00,-0.02
596,0.11,0.28,-0.00,-0.01
650,0.01,0.03,-0.00,-0.01
704,-0.13,0.11,-0.01,-0.00
758,-0.13,0.03,-0.01,0.00
812,0.15,0.17,-0.02,0.00
866,0.37,-0.22,-0.02,-0.00
920,0.06,0.07,-0.02,0.00
974,0.10,-0.07,-0.02,0.01
1028,-0.15,0.07,-0.02,0.00
1082,0.06,0.07,-0.01,0.00
1136,-0.20,-0.04,-0.01,0.01
1191,0.00,0.21,-0.02,0.01
1245,0.34,0.03,-0.02,0.00
1299,0.26,0.18,-0.03,-0.00
1353,-0.19,-0.40,-0.02,-0.01
1407,0.00,-0.06,-0.02,-0.02
1461,0.35,-0.08,-0.00,-0.02
1515,0.20,0.01,-0.00,-0.02
1569,0.08,-0.03,-0.02,-0.02
1623,0.04,-0.01,-0.02,-0.02
1677,0.14,0.38,-0.03,-0.01
1731,-0.07,0.21,-0.03,-0.02
1786,-0.14,-0.04,-0.03,-0.02
1840,0.21,0.00,-0.03,-0.02
1894,0.17,-0.08,-0.03,-0.02
1948,0.45,0.21,-0.03,-0.03
2003,-0.10,0.12,-0.03,-0.03
2057,0.20,0.10,-0.03,-0.02
2111,0.00,0.41,-0.03,-0.03
2165,-0.06,0.29,-0.03,-0.04
2219,0.14,-0.15,-0.03,-0.05
2273,0.03,0.00,-0.03,-0.05
2327,-0.13,0.04,-0.03,-0.05
2381,0.15,0.14,-0.03,-0.04
2435,0.03,-0.21,-0.03,-0.04
2489,0.28,-0.11,-0.03,-0.04
2543,0.22,0.38,-0.03,-0.04
2598,-0.08,0.47,-0.03,-0.03
2652,-0.14,0.04,-0.04,-0.03
2706,0.01,0.56,-0.05,-0.02
2760,-0.21,0.17,-0.05,-0.02
2814,-0.13,-0.18,-0.05,-0.02
2868,0.04,0.31,-0.06,-0.02
