T,RollA,PithA,RollG,PithG,RollFC,PitchFC
0,-0.27,-0.28,0.00,0.00,-0.01,-0.01
54,0.03,0.04,-0.01,-0.02,-0.01,-0.01
108,-0.06,-0.03,-0.01,-0.01,-0.01,-0.01
163,-0.10,0.13,-0.01,-0.01,-0.01,-0.00
217,-0.18,0.17,-0.01,-0.01,-0.02,-0.00
271,0.13,-0.38,-0.02,-0.01,-0.01,-0.03
325,-0.13,-0.07,-0.01,-0.02,-0.02,-0.02
380,-0.25,0.17,-0.01,-0.02,-0.03,-0.01
434,-0.04,0.07,-0.03,-0.01,-0.03,-0.01
488,-0.08,-0.10,-0.03,-0.01,-0.04,-0.01
542,-0.23,-0.10,-0.04,-0.01,-0.05,-0.01
596,0.11,0.36,-0.04,-0.01,-0.03,0.01
650,-0.30,0.13,-0.04,0.01,-0.05,0.01
704,-0.26,-0.08,-0.05,0.01,-0.06,0.01
758,0.01,0.08,-0.06,0.01,-0.06,0.02
812,0.06,0.15,-0.06,0.03,-0.05,0.03
866,0.20,0.14,-0.05,0.03,-0.04,0.04
920,-0.06,-0.01,-0.05,0.05,-0.05,0.04
975,0.14,-0.21,-0.04,0.05,-0.03,0.04
1029,-0.25,0.38,-0.03,0.04,-0.04,0.05
1083,0.18,0.15,-0.05,0.05,-0.03,0.06
1137,-0.13,0.28,-0.04,0.06,-0.04,0.07
1191,-0.21,-0.08,-0.04,0.07,-0.05,0.06
1245,-0.20,-0.01,-0.05,0.07,-0.06,0.06
1299,-0.27,-0.15,-0.06,0.06,-0.07,0.05
1353,0.32,-0.27,-0.08,0.05,-0.06,0.04
1407,0.21,-0.27,-0.06,0.05,-0.05,0.03
1461,-0.11,-0.11,-0.05,0.02,-0.06,0.02
1515,-0.11,-0.07,-0.06,0.03,-0.06,0.02
1570,0.11,-0.04,-0.06,0.02,-0.05,0.02
1624,0.06,-0.43,-0.06,0.01,-0.05,-0.01
1678,-0.11,-0.13,-0.05,-0.01,-0.06,-0.01
1732,0.06,0.41,-0.06,-0.01,-0.05,0.01
1787,-0.13,-0.28,-0.05,0.01,-0.06,-0.01
1841,-0.31,-0.20,-0.06,-0.00,-0.07,-0.01
1895,-0.17,0.25,-0.07,-0.02,-0.07,-0.00
1949,0.24,0.07,-0.08,0.00,-0.07,0.01
